date,sample_measurement
2022-01-02 07:00:00,2.2
2022-01-05 07:00:00,7.4
2022-01-08 07:00:00,3.4
2022-01-11 07:00:00,3.7
2022-01-14 07:00:00,3.3
2022-01-17 07:00:00,5.5
2022-01-20 07:00:00,10.8
2022-01-23 07:00:00,2.4
2022-01-26 07:00:00,10.2
2022-01-29 07:00:00,6.2
2022-02-01 07:00:00,2.5
2022-02-04 07:00:00,4.4
2022-02-07 07:00:00,
2022-02-08 07:00:00,2.1
2022-02-10 07:00:00,1.7
2022-02-13 07:00:00,2.5
2022-02-16 07:00:00,5.5
2022-02-19 07:00:00,2.7
2022-02-22 07:00:00,5.9
2022-02-25 07:00:00,26.9
2022-02-28 07:00:00,
2022-03-01 07:00:00,2.8
2022-03-03 07:00:00,4.9
2022-03-06 07:00:00,3.7
2022-03-09 07:00:00,6.2
2022-03-12 07:00:00,3.1
2022-03-15 07:00:00,4.3
2022-03-18 07:00:00,2.8
2022-03-21 07:00:00,3.3
2022-03-24 07:00:00,3.0
2022-03-27 07:00:00,8.8
2022-03-30 07:00:00,2.5
2022-04-02 07:00:00,4.1
2022-04-05 07:00:00,3.0
2022-04-08 07:00:00,3.5
2022-04-11 07:00:00,7.1
2022-04-14 07:00:00,3.3
2022-04-17 07:00:00,4.5
2022-04-20 07:00:00,7.2
2022-04-23 07:00:00,1.9
2022-04-26 07:00:00,8.8
2022-04-29 07:00:00,6.0
2022-05-02 07:00:00,2.7
2022-05-05 08:05:00,
2022-05-08 07:00:00,9.0
2022-05-11 07:00:00,5.9
2022-05-14 07:00:00,5.0
2022-05-17 07:00:00,7.5
2022-05-20 07:00:00,1.9
2022-05-23 07:00:00,3.0
2022-05-26 07:00:00,4.0
2022-05-29 07:00:00,4.0
2022-06-01 07:00:00,2.7
2022-06-04 07:00:00,4.5
2022-06-07 07:00:00,3.6
2022-06-10 07:00:00,7.2
2022-06-13 07:00:00,12.8
2022-06-16 07:00:00,10.7
2022-06-19 07:00:00,4.4
2022-06-22 07:00:00,7.0
2022-06-25 07:00:00,4.5
2022-06-28 07:00:00,6.0
2022-07-01 07:00:00,4.0
2022-07-04 07:00:00,6.1
2022-07-07 07:00:00,4.5
2022-07-10 07:00:00,4.2
2022-07-13 07:00:00,6.4
2022-07-16 07:00:00,5.1
2022-07-19 07:00:00,5.5
2022-07-22 07:00:00,6.1
2022-07-25 07:00:00,4.7
2022-07-28 07:00:00,4.7
2022-07-31 07:00:00,4.1
2022-08-03 07:00:00,5.7
2022-08-06 07:00:00,4.5
2022-08-09 07:00:00,4.8
2022-08-12 07:00:00,5.7
2022-08-15 07:00:00,4.6
2022-08-18 07:00:00,5.7
2022-08-21 07:00:00,3.0
2022-08-24 07:00:00,4.7
2022-08-27 07:00:00,3.5
2022-08-30 07:00:00,5.1
2022-09-02 07:00:00,7.2
2022-09-05 07:00:00,5.7
2022-09-08 07:00:00,9.9
2022-09-11 07:00:00,4.4
2022-09-14 07:00:00,4.0
2022-09-17 07:00:00,3.9
2022-09-20 07:00:00,5.5
2022-09-23 07:00:00,3.7
2022-09-26 07:00:00,5.4
2022-09-29 07:00:00,3.5
2022-10-02 07:00:00,2.7
2022-10-05 07:00:00,5.0
2022-10-08 07:00:00,11.0
2022-10-11 07:00:00,4.8
2022-10-14 07:00:00,4.2
2022-10-17 07:00:00,6.5
2022-10-20 07:00:00,5.4
2022-10-23 07:00:00,2.2
2022-10-26 07:00:00,4.0
2022-10-29 07:00:00,3.9
2022-11-01 07:00:00,3.9
2022-11-04 07:00:00,2.3
2022-11-07 07:00:00,4.2
2022-11-10 07:00:00,4.4
2022-11-13 07:00:00,4.2
2022-11-16 07:00:00,3.3
2022-11-19 07:00:00,5.9
2022-11-22 07:00:00,4.4
2022-11-25 07:00:00,2.2
2022-11-28 07:00:00,2.8
2022-12-01 07:00:00,7.5
2022-12-04 07:00:00,10.3
2022-12-07 07:00:00,5.2
2022-12-10 07:00:00,6.0
2022-12-13 07:00:00,6.7
2022-12-16 07:00:00,2.8
2022-12-19 07:00:00,6.3
2022-12-22 07:00:00,
2022-12-23 17:26:00,
2022-12-25 07:00:00,2.0
2022-12-28 07:00:00,3.5
2022-12-31 07:00:00,10.8
