date,sample_measurement
2019-01-03 07:00:00,12.2
2019-01-06 07:00:00,8.4
2019-01-09 07:00:00,17.1
2019-01-12 07:00:00,5.9
2019-01-15 07:00:00,8.7
2019-01-18 07:00:00,5.5
2019-01-21 07:00:00,10.1
2019-01-24 07:00:00,5.5
2019-01-27 07:00:00,2.4
2019-01-30 07:00:00,10.5
2019-02-02 07:00:00,7.9
2019-02-05 07:00:00,15.3
2019-02-08 07:00:00,29.4
2019-02-11 07:00:00,12.6
2019-02-14 07:00:00,3.8
2019-02-17 07:00:00,4.5
2019-02-20 07:00:00,7.4
2019-02-23 07:00:00,14.5
2019-02-26 07:00:00,16.5
2019-03-01 07:00:00,9.1
2019-03-04 07:00:00,23.5
2019-03-07 07:00:00,15.6
2019-03-10 07:00:00,5.2
2019-03-13 07:00:00,4.3
2019-03-16 07:00:00,9.3
2019-03-19 07:00:00,4.5
2019-03-22 07:00:00,5.0
2019-03-25 07:00:00,6.4
2019-03-28 07:00:00,7.6
2019-03-31 07:00:00,8.5
2019-04-03 07:00:00,11.7
2019-04-06 07:00:00,4.4
2019-04-09 07:00:00,5.4
2019-04-12 07:00:00,4.5
2019-04-15 07:00:00,4.0
2019-04-18 07:00:00,2.4
2019-04-21 07:00:00,2.6
2019-04-24 07:00:00,4.7
2019-04-27 07:00:00,2.5
2019-04-30 07:00:00,2.4
2019-05-03 07:00:00,4.0
2019-05-06 07:00:00,6.2
2019-05-09 07:00:00,2.7
2019-05-12 07:00:00,4.6
2019-05-15 07:00:00,5.9
2019-05-18 07:00:00,2.0
2019-05-21 07:00:00,0.9
2019-05-24 07:00:00,2.3
2019-05-27 07:00:00,2.5
2019-05-30 07:00:00,6.8
2019-06-02 07:00:00,5.0
2019-06-05 07:00:00,4.6
2019-06-08 07:00:00,4.8
2019-06-11 07:00:00,4.7
2019-06-14 07:00:00,7.7
2019-06-17 07:00:00,4.4
2019-06-20 07:00:00,5.2
2019-06-23 07:00:00,2.8
2019-06-26 07:00:00,
2019-06-28 07:00:00,8.3
2019-06-29 07:00:00,6.0
2019-07-02 07:00:00,4.9
2019-07-05 07:00:00,10.2
2019-07-08 07:00:00,5.5
2019-07-11 07:00:00,7.5
2019-07-14 07:00:00,5.9
2019-07-17 07:00:00,7.5
2019-07-20 07:00:00,7.6
2019-07-23 07:00:00,
2019-07-25 07:00:00,6.4
2019-07-26 07:26:00,7.1
2019-07-29 07:00:00,6.8
2019-08-01 07:00:00,5.5
2019-08-04 07:00:00,5.9
2019-08-07 07:00:00,7.9
2019-08-10 07:00:00,4.1
2019-08-13 07:00:00,5.2
2019-08-16 07:00:00,9.5
2019-08-19 07:00:00,9.7
2019-08-22 07:00:00,7.2
2019-08-25 07:00:00,5.7
2019-08-28 07:00:00,6.8
2019-08-31 07:00:00,7.7
2019-09-03 07:00:00,7.9
2019-09-06 07:00:00,8.5
2019-09-09 07:22:00,5.0
2019-09-12 07:00:00,3.3
2019-09-15 07:00:00,6.0
2019-09-18 07:00:00,6.0
2019-09-21 07:22:00,4.7
2019-09-24 07:00:00,6.9
2019-09-27 07:00:00,3.7
2019-09-30 07:00:00,2.6
2019-10-03 07:00:00,4.4
2019-10-06 07:00:00,2.5
2019-10-09 07:00:00,9.2
2019-10-12 07:00:00,6.8
2019-10-15 07:00:00,5.0
2019-10-18 07:00:00,5.5
2019-10-21 07:00:00,1.7
2019-10-24 07:00:00,6.0
2019-10-27 07:00:00,2.2
2019-10-30 07:00:00,4.9
2019-11-02 07:00:00,18.4
2019-11-05 07:00:00,15.3
2019-11-08 07:00:00,10.0
2019-11-11 07:00:00,3.7
2019-11-14 07:00:00,3.6
2019-11-17 07:00:00,3.9
2019-11-20 07:00:00,5.1
2019-11-23 07:00:00,9.1
2019-11-26 07:00:00,2.3
2019-11-29 07:00:00,18.0
2019-12-02 07:00:00,18.0
2019-12-05 07:00:00,10.5
2019-12-08 07:00:00,5.8
2019-12-11 07:00:00,22.9
2019-12-14 07:00:00,8.2
2019-12-17 07:00:00,7.5
2019-12-20 07:00:00,16.9
2019-12-23 07:00:00,15.5
2019-12-26 07:00:00,6.3
2019-12-29 07:00:00,1.4
