date,sample_measurement
2022-01-02 07:00:00,12.0
2022-01-05 07:00:00,
2022-01-08 07:00:00,1.0
2022-01-11 07:00:00,7.0
2022-01-14 07:00:00,1.0
2022-01-17 07:00:00,10.0
2022-01-20 07:00:00,7.0
2022-01-23 07:00:00,5.0
2022-01-26 07:00:00,4.0
2022-01-29 07:00:00,
2022-02-01 07:00:00,11.0
2022-02-04 07:00:00,4.0
2022-02-07 07:00:00,8.0
2022-02-10 07:00:00,4.0
2022-02-13 07:00:00,18.0
2022-02-16 07:00:00,10.0
2022-02-19 07:00:00,16.0
2022-02-22 07:00:00,3.0
2022-02-25 07:00:00,3.0
2022-02-28 07:00:00,14.0
2022-03-03 07:00:00,34.0
2022-03-06 07:00:00,3.0
2022-03-09 07:00:00,9.0
2022-03-12 07:00:00,26.0
2022-03-15 07:00:00,36.0
2022-03-18 07:00:00,16.0
2022-03-21 07:00:00,9.0
2022-03-24 07:00:00,27.0
2022-03-27 07:00:00,28.0
2022-03-30 07:00:00,4.0
2022-04-02 07:00:00,20.0
2022-04-05 07:00:00,21.0
2022-04-08 07:00:00,24.0
2022-04-11 07:00:00,28.0
2022-04-14 07:00:00,17.0
2022-04-17 07:00:00,17.0
2022-04-20 07:00:00,36.0
2022-04-23 07:00:00,3.0
2022-04-26 07:00:00,35.0
2022-04-29 07:00:00,25.0
2022-05-02 07:00:00,15.0
2022-05-05 07:00:00,7.0
2022-05-08 07:00:00,55.0
2022-05-11 07:00:00,39.0
2022-05-14 07:00:00,8.0
2022-05-17 07:00:00,19.0
2022-05-20 07:00:00,9.0
2022-05-23 07:00:00,12.0
2022-05-26 07:00:00,38.0
2022-05-29 07:00:00,10.0
2022-06-01 07:00:00,14.0
2022-06-04 07:00:00,20.0
2022-06-07 07:00:00,20.0
2022-06-10 07:00:00,21.0
2022-06-13 07:00:00,70.0
2022-06-16 07:00:00,23.0
2022-06-19 07:00:00,8.0
2022-06-22 07:00:00,25.0
2022-06-25 07:00:00,11.0
2022-06-28 07:00:00,16.0
2022-07-01 07:00:00,12.0
2022-07-04 07:00:00,12.0
2022-07-07 07:00:00,14.0
2022-07-10 07:00:00,17.0
2022-07-13 07:00:00,18.0
2022-07-16 07:00:00,11.0
2022-07-19 07:00:00,13.0
2022-07-22 07:00:00,30.0
2022-07-25 07:00:00,15.0
2022-07-28 07:00:00,14.0
2022-07-31 07:00:00,
2022-08-03 07:00:00,15.0
2022-08-06 07:00:00,10.0
2022-08-09 07:00:00,16.0
2022-08-12 07:00:00,16.0
2022-08-15 07:00:00,10.0
2022-08-18 07:00:00,24.0
2022-08-21 07:00:00,5.0
2022-08-24 07:00:00,17.0
2022-08-27 07:00:00,11.0
2022-08-30 07:00:00,13.0
2022-09-02 07:00:00,
2022-09-05 07:00:00,22.0
2022-09-08 07:00:00,36.0
2022-09-11 07:00:00,18.0
2022-09-14 07:00:00,11.0
2022-09-17 07:00:00,11.0
2022-09-20 07:00:00,33.0
2022-09-23 07:00:00,17.0
2022-09-26 07:00:00,24.0
2022-09-29 07:00:00,21.0
2022-10-02 07:00:00,3.0
2022-10-05 07:00:00,16.0
2022-10-08 07:00:00,16.0
2022-10-11 07:00:00,18.0
2022-10-14 07:00:00,18.0
2022-10-17 07:00:00,17.0
2022-10-20 07:00:00,22.0
2022-10-23 07:00:00,
2022-10-26 07:00:00,2.0
2022-10-29 07:00:00,17.0
2022-11-01 07:00:00,31.0
2022-11-04 07:00:00,8.0
2022-11-07 07:00:00,17.0
2022-11-10 07:00:00,2.0
2022-11-13 07:00:00,18.0
2022-11-16 07:00:00,9.0
2022-11-19 07:00:00,
2022-11-22 07:00:00,43.0
2022-11-25 07:00:00,15.0
2022-11-28 07:00:00,4.0
2022-12-01 07:00:00,6.0
2022-12-04 07:00:00,6.0
2022-12-07 07:00:00,4.0
2022-12-10 07:00:00,13.0
2022-12-13 07:00:00,2.0
2022-12-16 07:00:00,3.0
2022-12-19 07:00:00,8.0
2022-12-22 07:00:00,12.0
2022-12-25 07:00:00,3.0
2022-12-28 07:00:00,1.0
2022-12-31 07:00:00,7.0
