date,sample_measurement
2018-01-02 07:00:00,27.0
2018-01-05 07:00:00,31.0
2018-01-08 07:00:00,6.0
2018-01-11 07:00:00,5.0
2018-01-14 07:00:00,10.0
2018-01-17 07:00:00,
2018-01-20 07:00:00,10.0
2018-01-23 07:00:00,4.0
2018-01-26 07:00:00,8.0
2018-01-29 07:00:00,15.0
2018-02-01 07:00:00,11.0
2018-02-04 07:00:00,12.0
2018-02-07 07:00:00,16.0
2018-02-10 07:00:00,3.0
2018-02-13 07:00:00,
2018-02-16 07:00:00,7.0
2018-02-19 07:00:00,5.0
2018-02-22 07:00:00,6.0
2018-02-25 07:00:00,4.0
2018-02-28 07:00:00,12.0
2018-03-03 07:00:00,24.0
2018-03-06 07:00:00,37.0
2018-03-09 07:00:00,19.0
2018-03-12 07:00:00,29.0
2018-03-15 07:00:00,7.0
2018-03-18 07:00:00,8.0
2018-03-21 07:00:00,16.0
2018-03-24 07:00:00,10.0
2018-03-27 07:00:00,9.0
2018-03-30 07:00:00,12.0
2018-04-02 07:00:00,17.0
2018-04-05 07:00:00,
2018-04-08 07:00:00,5.0
2018-04-11 07:00:00,16.0
2018-04-14 07:00:00,5.0
2018-04-17 07:00:00,20.0
2018-04-20 07:00:00,5.0
2018-04-23 07:00:00,15.0
2018-04-26 07:00:00,10.0
2018-04-29 07:00:00,8.0
2018-05-02 07:00:00,10.0
2018-05-05 07:00:00,12.0
2018-05-08 07:00:00,13.0
2018-05-11 07:00:00,21.0
2018-05-14 07:00:00,12.0
2018-05-17 07:00:00,16.0
2018-05-20 07:00:00,7.0
2018-05-23 07:00:00,12.0
2018-05-26 07:00:00,14.0
2018-05-29 07:00:00,
2018-06-01 07:00:00,13.0
2018-06-04 07:00:00,14.0
2018-06-07 07:00:00,17.0
2018-06-10 07:00:00,14.0
2018-06-13 07:00:00,23.0
2018-06-16 07:00:00,12.0
2018-06-19 07:00:00,13.0
2018-06-22 07:00:00,14.0
2018-06-25 07:00:00,9.0
2018-06-28 07:00:00,19.0
2018-07-01 07:00:00,11.0
2018-07-04 07:00:00,17.0
2018-07-07 07:00:00,12.0
2018-07-10 07:00:00,
2018-07-13 07:00:00,14.0
2018-07-16 07:00:00,13.0
2018-07-19 07:00:00,16.0
2018-07-22 07:00:00,9.0
2018-07-25 07:00:00,14.0
2018-07-28 07:00:00,14.0
2018-07-31 07:00:00,14.0
2018-08-03 07:00:00,14.0
2018-08-06 07:00:00,19.0
2018-08-09 07:00:00,17.0
2018-08-12 07:00:00,14.0
2018-08-15 07:00:00,22.0
2018-08-18 07:00:00,10.0
2018-08-21 07:00:00,
2018-08-24 07:00:00,17.0
2018-08-27 07:00:00,
2018-08-30 07:00:00,9.0
2018-09-02 07:00:00,9.0
2018-09-05 07:00:00,10.0
2018-09-08 07:00:00,10.0
2018-09-11 07:00:00,17.0
2018-09-14 07:00:00,15.0
2018-09-17 07:00:00,18.0
2018-09-20 07:00:00,9.0
2018-09-23 07:00:00,12.0
2018-09-26 07:00:00,14.0
2018-09-29 07:00:00,14.0
2018-10-02 07:00:00,
2018-10-05 07:00:00,3.0
2018-10-08 07:00:00,
2018-10-11 07:00:00,2.0
2018-10-14 07:00:00,2.0
2018-10-17 07:00:00,9.0
2018-10-20 07:00:00,13.0
2018-10-23 07:00:00,6.0
2018-10-26 07:00:00,13.0
2018-10-29 07:00:00,16.0
2018-11-01 07:00:00,4.0
2018-11-04 07:00:00,3.0
2018-11-07 07:00:00,14.0
2018-11-10 07:00:00,14.0
2018-11-13 07:00:00,
2018-11-14 07:00:00,23.0
2018-11-16 07:00:00,29.0
2018-11-19 07:00:00,23.0
2018-11-22 07:00:00,13.0
2018-11-25 07:00:00,6.0
2018-11-28 07:00:00,5.0
2018-12-01 07:00:00,4.0
2018-12-04 07:00:00,4.0
2018-12-07 07:00:00,3.0
2018-12-10 07:00:00,32.0
2018-12-13 07:00:00,4.0
2018-12-16 07:00:00,10.0
2018-12-19 07:00:00,3.0
2018-12-22 07:00:00,5.0
2018-12-25 07:00:00,7.0
2018-12-28 07:00:00,3.0
2018-12-31 07:00:00,3.0
