param,bdate,edate,state,county,site,fname
88101,20170101,20171231,08,103,0006,Western_CO/Rangely/Rangely-Golf-Course_2017payload.json
88101,20180101,20181231,08,103,0006,Western_CO/Rangely/Rangely-Golf-Course_2018payload.json
88101,20190101,20191231,08,103,0006,Western_CO/Rangely/Rangely-Golf-Course_2019payload.json
88101,20200101,20201231,08,103,0006,Western_CO/Rangely/Rangely-Golf-Course_2020payload.json
88101,20210101,20211231,08,103,0006,Western_CO/Rangely/Rangely-Golf-Course_2021payload.json
88101,20220101,20221231,08,103,0006,Western_CO/Rangely/Rangely-Golf-Course_2022payload.json

88101,20170101,20171231,08,077,0017,Western_CO/Grand_Junction/Grand-Junction-Powell_2017payload.json
88101,20180101,20181231,08,077,0017,Western_CO/Grand_Junction/Grand-Junction-Powell_2018payload.json
88101,20190101,20191231,08,077,0017,Western_CO/Grand_Junction/Grand-Junction-Powell_2019payload.json
88101,20200101,20201231,08,077,0017,Western_CO/Grand_Junction/Grand-Junction-Powell_2020payload.json
88101,20210101,20211231,08,077,0017,Western_CO/Grand_Junction/Grand-Junction-Powell_2021payload.json
88101,20220101,20221231,08,077,0017,Western_CO/Grand_Junction/Grand-Junction-Powell_2022payload.json

88502,20190101,20191231,08,067,7003,Western_CO/La_Posta/Ute3_2019payload.json
88502,20200101,20201231,08,067,7003,Western_CO/La_Posta/Ute3_2020payload.json
88502,20210101,20211231,08,067,7003,Western_CO/La_Posta/Ute3_2021payload.json
88502,20220101,20221231,08,067,7003,Western_CO/La_Posta/Ute3_2022payload.json

88502,20210101,20211231,08,067,7001,Western_CO/Ignacio/Ute1_2021payload.json
88502,20220101,20221231,08,067,7001,Western_CO/Ignacio/Ute1_2022payload.json

88101,20180101,20181231,08,029,0007,Western_CO/Paonia/Paonia_2018payload.json
88101,20190101,20191231,08,029,0007,Western_CO/Paonia/Paonia_2019payload.json
88101,20200101,20201231,08,029,0007,Western_CO/Paonia/Paonia_2020payload.json
88101,20210101,20211231,08,029,0007,Western_CO/Paonia/Paonia_2021payload.json
88101,20220101,20221231,08,029,0007,Western_CO/Paonia/Paonia_2022payload.json

88101,20170101,20171231,08,031,0027,Denver/I25Denver/I25-Denver_2017payload.json
88101,20180101,20181231,08,031,0027,Denver/I25Denver/I25-Denver_2018payload.json
88101,20190101,20191231,08,031,0027,Denver/I25Denver/I25-Denver_2019payload.json
88101,20200101,20201231,08,031,0027,Denver/I25Denver/I25-Denver_2020payload.json
88101,20210101,20211231,08,031,0027,Denver/I25Denver/I25-Denver_2021payload.json
88101,20220101,20221231,08,031,0027,Denver/I25Denver/I25-Denver_2022payload.json

88101,20170101,20171231,08,031,0028,Denver/I25Globeville/I25-Globeville_2017payload.json
88101,20180101,20181231,08,031,0028,Denver/I25Globeville/I25-Globeville_2018payload.json
88101,20190101,20191231,08,031,0028,Denver/I25Globeville/I25-Globeville_2019payload.json
88101,20200101,20201231,08,031,0028,Denver/I25Globeville/I25-Globeville_2020payload.json
88101,20210101,20211231,08,031,0028,Denver/I25Globeville/I25-Globeville_2021payload.json
88101,20220101,20221231,08,031,0028,Denver/I25Globeville/I25-Globeville_2022payload.json

88101,20170101,20171231,08,031,0026,Denver/La_Casa/La-Casa_2017payload.json
88101,20180101,20181231,08,031,0026,Denver/La_Casa/La-Casa_2018payload.json
88101,20190101,20191231,08,031,0026,Denver/La_Casa/La-Casa_2019payload.json
88101,20200101,20201231,08,031,0026,Denver/La_Casa/La-Casa_2020payload.json
88101,20210101,20211231,08,031,0026,Denver/La_Casa/La-Casa_2021payload.json
88101,20220101,20221231,08,031,0026,Denver/La_Casa/La-Casa_2022payload.json

88101,20170101,20171231,08,031,0002,Denver/CAMP/CAMP_2017payload.json
88101,20180101,20181231,08,031,0002,Denver/CAMP/CAMP_2018payload.json
88101,20190101,20191231,08,031,0002,Denver/CAMP/CAMP_2019payload.json
88101,20200101,20201231,08,031,0002,Denver/CAMP/CAMP_2020payload.json
88101,20210101,20211231,08,031,0002,Denver/CAMP/CAMP_2021payload.json
88101,20220101,20221231,08,031,0002,Denver/CAMP/CAMP_2022payload.json

88101,20180101,20181231,08,031,0013,Denver/NJH/NJH_2018payload.json
88101,20190101,20191231,08,031,0013,Denver/NJH/NJH_2019payload.json
88101,20200101,20201231,08,031,0013,Denver/NJH/NJH_2020payload.json
88101,20210101,20211231,08,031,0013,Denver/NJH/NJH_2021payload.json
88101,20220101,20221231,08,031,0013,Denver/NJH/NJH_2022payload.json

88101,20170101,20171231,08,001,0008,Denver/Adams_Birch/7275Birch0008_2017payload.json
88101,20180101,20181231,08,001,0008,Denver/Adams_Birch/7275Birch0008_2018payload.json
88101,20190101,20191231,08,001,0008,Denver/Adams_Birch/7275Birch0008_2019payload.json
88101,20200101,20201231,08,001,0008,Denver/Adams_Birch/7275Birch0008_2020payload.json
88101,20210101,20211231,08,001,0010,Denver/Adams_Birch/7275Birch_2021payload.json
